"Cod. Livro","Tp. Situação","Cod. Curso","Cod. Editora","Cod. Genero","Ds. Titulo","Ds. Autor","Nr. Volume","Nr. Volumede","Nr. Corredor","Nr. Prateleira","Nr. Andar","Qt. Exemplar","Dt. Aquisição","Ds. Origem","Ds. Complemento","Ds. Forma","Ds. Cidade","Nr. Ano","Ds. Barra","Tp. Ensino","Ds. Edição"
"4867","1","1","727","13","0SPB AS","TEIXEIRA FRANCISCO M P","1","1","","3","19","1","21/08/2006","","ENSINO MEDIO","","SAO PAULO","1982","","1",""
"10967","1","1","1430","42","100 CLIENTE","ALMEIDA SERGIO","1","1","","","","1","09/08/2005","COMPRA","","","SALVADOR","2004","","1",""
"13441","1","1","805","6","111 AIS","TREVIAN DALTON","1","1","","","","1","25/02/2005","DOACAO","","","PORTO ALEGRE","2000","","1",""
"13440","1","1","1544","6","111 AIS","TREVISAN DALTON","1","1","","","","1","25/02/2005","DOACAO","","","PORTO ALEGRE","2000","","1",""
"13439","1","1","805","6","111 AIS","TREVISAN DALTON","1","1","","","","1","25/02/2005","DOACAO","","","PORTO ALEGRE","2000","","1",""
"10242","1","1","776","31","123 RESPOSTAS SOBRE DROGAS","TIBA ICAMI","1","1","","2","28","1","19/02/2003","MODULO BIBLIOTECA","","NOTA FISCAL 4567","SAO PAULO","1997","","1",""
"4615","1","1","727","44","1935 A REVOLTA VERMELHA","BRENER JAYME","1","1","","4","12","1","27/07/2006","","","","SAO PAULO","1994","","1",""
"4613","1","1","727","44","1935 A REVOLTA VERMELHA","BRENER JAYME","1","1","","4","12","1","27/07/2006","","","","SAO PAULO","1994","","1",""
"10803","1","1","726","1","1984","OEWELL","1","1","","23","16","1","04/08/2004","DOACAO","","","SAO PAULO","1978","","1",""
"15007","1","1","781","63","200 CRONICAS ESCOLHIDAS","BRAGA RUBEM","1","1","","","","2","27/03/2008","MEC","","","RIO DE JANEIRO","2008","","1",""
"13368","1","1","781","6","200 CRONICAS ESCOLHIDAS","BRAGA RUBEM","1","1","","","","1","23/02/2005","DOACAO","","","RIO DE JANEIRO","2004","","1",""
"13367","1","1","781","6","200 CRONICAS ESCOLHIDAS","BRAGA RUBEM","1","1","","","","1","23/02/2005","DOACAO","","","RIO DE JANEIRO","2004","","1",""
"7977","1","1","781","1","200 CRONICAS ESCOLHIDAS","BRAGA RUBEM","1","1","","","","1","08/09/2004","DOACAO","","","RIO DE JANEIRO","2004","","1",""
"5003","1","1","830","32","200 EXERCICIOS E JOGOS PARA O ATOR E NAO","BOAL AUGUSTO","1","1","","6","29","1","01/09/2004","","","","RIO DE JANEIRO","1992","","1",""
"5002","1","1","830","32","200 EXERCICIOS E JOGOS PARA O ATOR E NAO","BOAL AUGUSTO","1","1","","6","29","1","01/09/2004","","","","SAO PAULO","1977","","1",""
"15018","1","1","1521","24","20000 LEGUAS MATEMATICAS","DEWDNEY A K","1","1","","","","2","31/03/2008","MEC","","","RIO DE JANEIRO","2000","","1",""
"10051","1","1","832","53","20000 LEGUAS SUBMARINAS","VERNE JULIO","1","1","","3","33","1","18/02/2003","","","","SAO PAULO","1964","","1",""
"10046","1","1","1387","53","21 LIVROS FAMOSOS DE SELECOES","READERS DIGEST","1","1","","3","33","1","18/02/2003","","","","RIO DE JANEIRO","1959","","1",""
"14555","1","1","785","63","23 HISTORIAS DE UM VIAJANTE","COLASSANTI MARINA","1","1","","","","1","20/03/2007","COMPRA","","","SAO PAULO","2005","","1",""
"13366","1","1","781","6","2OO CRONICAS ESCOLHIDAS","BRAGA RUBEM","1","1","","","","1","23/02/2005","DOACAO","","","RIO DE JANEIRO","2004","","1",""
"11973","1","1","1507","23","3OOO DUVIDAS DA LINGUA PORTUGUESA","HAWTHORNE PLEAS ROBERT","1","1","","","","1","09/06/2003","","","","MARINGA","2001","","1",""
"7024","1","1","1208","1","4 IRMAS","ALCOTT LUISA M","1","1","","5","16","1","18/08/2006","","","","SAO PAULO","1969","","1",""
"13350","1","1","1448","6","40 ESCRITOS","ANTUNES ARNALDO","1","1","","","","1","23/02/2005","DOACAO","","","SAO PAULO","2004","","1",""
"13349","1","1","1557","6","40 ESCRITOS","ANTUNES ARNALDO","1","1","","","","1","23/02/2005","DOACAO","","","SAO PAULO","2004","","1",""
"13348","1","1","1448","6","40 ESCRITOS","ANTUNES ARNALDO","1","1","","","","1","23/02/2005","DOACAO","","","SAO PAULO","2004","","1",""
"11906","1","1","817","51","50 ANOS ANOS A SERVICO DO EVANGELHO","IRMAS PAULINAS","1","1","","1","18","1","27/07/2006","","","","SAO PAULO","1981","","1",""
"14221","1","1","842","42","50 GRANDES PENSADORES DA HISTORIA","WARRINGTON MARNIE HUGHES","1","1","","","","1","22/08/2006","DOACAO GOV PR","","","SAO PAULO","2005","","1",""
"14675","1","1","1484","2","50 POEMAS ESCOLHIDOS PELO AUTOR","BANDEIRA MANUEL","1","1","","","","1","10/04/2007","DOACAO","","","SAO PAULO","2006","","1",""
"14755","1","1","770","52","500 ANOS","RENNO REGINA COELI","1","1","","","","1","18/05/2007","DOACAO","","","SAO PAULO","1999","","1",""
"9773","1","1","50","9","500 ANOS DO DINHEIRO NO BRASIL","BANCO CENTRAL DO BRASIL","1","1","","","","1","18/02/2003","DOACAO","","","CIANORTE","2008","","1",""
"9772","1","1","50","9","500 ANOS DO DINHEIRO NO BRASIL","BANCO CENTRAL DO BRASIL","1","1","","","","1","18/02/2003","DOACAO","","","CIANORTE","2008","","1",""
"478","1","1","781","44","70 HISTORINHAS","ANDRADE CARLOS DRUMOND DE","1","1","","3","11","1","20/02/2002","DOACAO","","","RIO DE JANEIRO","1997","","1",""
"14882","1","1","770","44","9 COISS EMAIL QUE EU ODEIO EM VOCE","KUPSTAS MARCIA","1","1","","","","1","14/08/2007","DOACAO ALUNO","","","SAO PAULO","2001","","1",""
"12574","1","1","50","52","A  CIGARRA E A FORMIGA","COLECAO O MUNDO DAS FABULAS","1","1","","","","1","01/07/2004","COMPRA","","","CIANORTE","2008","","1",""
"11423","1","1","1407","64","A  ILUSTRE CASA DE RAMIRES","ECA DE QUEIROS JOSE MARIA DE","1","1","","","","3","06/06/2006","DOACAO GOV PR","","","SAO PAULO","1998","","1",""
"9735","1","1","902","52","A ABELHA ABELHUDA","BARRIGA HELIANA","1","1","","3","31","1","01/10/2002","","","","SAO PAULO","1986","","1",""
"20385","1","1","785","42","A ABOLICAO","COSTA EMILIA VIOTTI DA","1","1","","3","39","1","03/11/2008","","","","SAO PAULO","1994","","1",""
"20384","1","1","785","42","A ABOLICAO","COSTA EMILIA VIOTTO DA","1","1","","3","39","1","03/11/2008","","","","SAO PAULO","1994","","1",""
"11544","1","1","730","42","A AGUIA E A GALINHA","BOFF LEONARDO","1","1","","","","1","09/08/2005","COMPRA","","","RIO DE JANEIRO","1997","","1",""
"5508","1","1","1183","21","A ALEGRIA DE ENSINAR","ALVES RUBEM","1","1","","3","9","1","01/09/2004","","","","SAO PAULO","1994","","1",""
"20411","1","1","727","42","A AMAZONIA","PORTELA FERNANDO","1","1","","1","39","1","03/11/2008","","","","SAO PAULO","1994","","1",""
"20410","1","1","727","42","A AMAZONIA","PORTELA FERNADO","1","1","","1","39","1","03/11/2008","","","","SAO PAULO","1994","","1",""
"4620","1","1","727","5","A AMAZONIA","PORTELA FERNANDO","1","1","","5","22","1","27/07/2006","","","","SAO PAULO","1987","","1",""
"3183","1","1","950","8","A AMERICA ANTES DE COLOMBO","BAITY ELIZABETH CHESLEY","1","1","","6","21","1","27/07/2006","","","","BELO HORIZONTE","1961","","1",""
"20214","1","1","755","42","A AMERICA QUE OS EUROPEUS ENCONTRARAM","PEREGALLI ENRIQUE","1","1","","5","39","1","03/11/2008","DOACAO","","PROG NAC BIBL DO PROFESSOR","SAO PAULO","1994","","1",""
"20213","1","1","755","42","A AMERICA QUE OS EUROPEUS ENCONTRARAM","PEREGALLIM ENRIQUE","1","1","","5","39","1","03/11/2008","DOACAO","","PROG NAC BIBL DO PROFESSOR","SAO PAULO","1994","","1",""
"15123","1","1","755","8","A AMERICA QUE OS EUROPEUS ENCONTRARAM","PEREGALLI ENRIQUE","1","1","","","","2","29/04/2008","MEC","","","SAO PAULO","1994","","1",""
"4849","1","1","755","8","A AMERICA QUE OS EUROPEUS ENCONTRARAM","PEREGALLI ENRIQUE","1","1","","3","20","1","21/08/2006","","","","SAO PAULO","1987","","1",""
"9047","1","1","770","53","A ANALISE AO ALCANCE DE TODOS","STIVAL JOSE","1","1","","1","40","1","06/08/2002","","","","CIANORTE","2008","","1",""
"14754","1","1","1653","52","A ARCA DE NOE","ROCHA CELMA CHRISTINA CRUZ DA","1","1","","","","1","18/05/2007","DOACAO","","","RIO DE JANEIRO","1994","","1",""
"11089","1","1","1223","44","A ARCA DE NOE","MORAES VINICIOS DE","1","1","","","","1","25/07/2006","DOACAO","","","SAO PAULO","1991","","1",""
"8770","1","1","729","44","A ARCA DE NOE","MORAES VINICIUS DE","1","1","","1","4","1","18/08/2006","","","","RIO DE JANEIRO","1984","","1",""
"8294","1","1","815","44","A ARCA DE NOE","MORAES VINICIUS DE","1","1","","","","1","25/06/2002","DOACAO","","","SAO PAULO","2002","","1",""
"8239","1","1","815","44","A ARCA DE NOE","MORAES VINICIUS DE","1","1","","","","1","24/06/2002","DOACAO","","","SAO PAULO","2002","","1",""
"7789","1","1","815","44","A ARCA DE NOE","MORAES VINICIUS DE","1","1","","","","1","24/06/2002","DOACAO","","","SAO PAULO","2002","","1",""
"7787","1","1","815","44","A ARCA DE NOE","MORAES VINICIUS DE","1","1","","","","1","24/06/2002","DOACAO","","","SAO PAULO","2002","","1",""
"7693","1","1","815","44","A ARCA DE NOE","MORAES VINICIUS DE","1","1","","","","1","24/06/2002","DOACAO","","","SAO PAULO","2002","","1",""
"7601","1","1","1263","44","A ARCA DE NOE","MORAES VINICIOS","1","1","","","","1","24/06/2002","DOACAO GOV PR","","","SAO PAULO","1991","","1",""
"7294","1","1","815","44","A ARCA DE NOE","MORAES VINICIUS DE","1","1","","","","1","24/06/2002","DOACAO","","","SAO PAULO","2002","","1",""
"6758","1","1","1157","2","A ARCA DE NOE","MORAES VINICIUS DE","1","1","","","","1","01/09/2004","DOACAO","","","SAO PAULO","1991","","1",""
"1234","1","1","890","34","A ARTE DA ADMINISTRACAO","TEAD ORDWAY","1","1","","2","30","1","27/07/2006","","ENSINO MEDIO","","RIO DE JANEIRO","1975","","1",""
"10184","1","1","832","42","A ARTE DA CONSTRUCAO","SEM AUTOR","1","1","","1","37","1","18/02/2003","COMPRA","","NOTA FISCAL 28341","SAO PAULO","2008","","1",""
"10969","1","1","1431","42","A ARTE DA GUERRA","CHU CHINNING","1","1","","","","1","09/08/2005","COMPRA","","","CURITIBA","2003","","1",""
"6443","1","1","950","1","A ARTE DE AMAR","FROMM ERICH","1","1","","1","15","1","24/06/2002","","","","BELO HORIZONTE","1971","","1",""
"3514","1","1","770","21","A ARTE DE EDUCAR","FINKLER PEDRO","1","1","","1","8","1","27/07/2006","","","","SAOPAULO","1965","","1",""
"20509","1","1","750","42","A ARTE DE EMSINAR A ESCREVER","CALKINS LUCY MCCORMICK","1","1","","7","39","1","03/11/2008","DOACAO","","PROG NAC BIBL DO PROFESSOR","PORTO ALEGRE","1989","","1",""
"3534","1","1","832","21","A ARTE DE ENSINAR","HIGHET GILBERT","1","1","","3","8","1","27/07/2006","","","","SAO PAULO","1969","","1",""
"20510","1","1","750","42","A ARTE DE ENSINAR A ESCREVER","CALKINS LUCY MCCORMICK","1","1","","7","39","1","03/11/2008","DOACAO","","PROG NAC BIBL DO PROFESSOR","PORTO ALEGRE","1989","","1",""
"7690","1","1","771","23","A ARTE DE LER","ADLER  MORTIMER J","1","1","","3","24","1","01/09/2004","","ENSINO MEDIO","","RIO DE JANEIRO","1974","","1",""
"9999","1","1","840","4","A ARTE DE LER E CONTAR HISTORIAS","TAHAN MALBA","1","1","","2","14","1","18/02/2003","","COLECAO SELECOES","","RIO DE JANEIRO","1964","","1",""
"9981","1","1","840","4","A ARTE DE LER E CONTAR HISTORIAS","TAHAN MALBA","1","1","","2","14","1","18/02/2003","","COLECAO OBRAS COMPLETAS","","RIO DE JANEIRO","1963","","1",""
"20502","1","1","1716","42","A ARTE DE RESOLVER PROBLEMAS","G POLYA","1","1","","6","39","1","03/11/2008","DOACAO","","PROG NAC BIBL DO PROFESSOR","RIO DE JANEIRO","1994","","1",""
"20501","1","1","1715","42","A ARTE DE RESOLVER PROBLEMAS","G POLYA","1","1","","6","39","1","03/11/2008","DOACAO","","PROG NAC BIBL DO PROFESSOR","RIO DE JANEIRO","1994","","1",""
"14244","1","1","1598","42","A ARTE DE RESOLVER PROBLEMAS","POLYA G","1","1","","","","1","22/08/2006","DOACAO GOV PR","","","RIO DE JANEIRO","2006","","1",""
"2497","1","1","832","49","A ARTE DE TRADUZIR","SILVEIRA BRENNO","1","1","","4","23","1","20/02/2002","","","","SAO PAULO","1970","","1",""
